particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
ri'e,"
'''ri'e''' <small>[interjection modifier]</small> — expressing release of attitude | {ri'e} {nai} — expressing restraint of attitude
:'''i oi ri'e mi cirko lo ckiku pe mi''' — ''Ah, I lost my keys.''
:'''i tugni na ku o'o ri'e nai fa le jatna''' — ''he doesn't agree! Ehm, well, the boss doesn't agree, you see.''
:'''i oi ri'e nai cortu''' — ''Mmm, it hurts.''
:Related words: {rinju}",ri'e,interjection modifier,expressing release of attitude | {ri'e} {nai} — expressing restraint of attitude,,interjection modifier,{rinju},,,,UI5,yes,interjection,,,,,interjection modifier: release of emotion — emotion restraint,ri'e,"
'''ri'e''' <small>[interjection modifier]</small> — expressing release of attitude | {ri'e} {nai} — expressing restraint of attitude
:'''i oi ri'e mi cirko le ckiku pe mi''' — ''Ah, I lost my keys.''
:'''i tugni na ku o'o ri'e nai fa le mi'u jatna''' — ''he doesn't agree! Ehm, well, the boss doesn't agree, you see.''
:'''i oi ri'e nai cortu''' — ''Mmm, it hurts.''
:Related words: {rinju}",ri'e,interjection modifier,expressing release of attitude | {ri'e} {nai} — expressing restraint of attitude,,interjection modifier,{rinju},,,,UI5,yes,interjection,,,,,,,,
se'a,"
'''se'a''' <small>[interjection modifier]</small> — self-sufficiency | {se'a} {nai} — dependency
:'''i fa se'a le verba pu kelci''' — ''The child played by himself.''
:'''i fa se'a nai le cifnu cu cadzu''' — ''The infant walks but not by himself.''
:Related words: {lacri}",se'a,interjection modifier,self-sufficiency | {se'a} {nai} — dependency,,interjection modifier,{lacri},,,,UI5,yes,interjection,,,,,interjection modifier: self-sufficiency — dependency,se'a,"
'''se'a''' <small>[interjection modifier]</small> — self-sufficiency | {se'a} {nai} — dependency
:'''i fa se'a le mi'u verba pu kelci''' — ''The child played by himself.''
:'''i fa se'a nai le mi'u cifnu cu cadzu''' — ''The infant walks but not by himself.''
:Related words: {lacri}",se'a,interjection modifier,self-sufficiency | {se'a} {nai} — dependency,,interjection modifier,{lacri},,,,UI5,yes,interjection,,,,,,,,
se'i,"
'''se'i''' <small>[interjection modifier]</small> — interjection is self-oriented | {se'i} {nai} — interjection is oriented towards others
:'''i oi se'i mi pu srera''' — ''Oh, I made a mistake.''
:'''i oi se'i nai da spofu botpi bu'u lo loldi''' — ''Someone would be discontented, there is a broken bottle on the floor.''
:Related words: {drata}",se'i,interjection modifier,interjection is self-oriented | {se'i} {nai} — interjection is oriented towards others,,interjection ending,{drata},,,,UI5,yes,interjection,,,,,interjection modifier: self-oriented — other-oriented,se'i,"
'''se'i''' <small>[interjection modifier]</small> — interjection is self-oriented | {se'i} {nai} — interjection is oriented towards others
:'''i oi se'i mi pu srera''' — ''Oh, I made a mistake.''
:'''i oi se'i nai da spofu botpi bu'u le loldi''' — ''Someone would be discontented, there is a broken bottle on the floor.''
:Related words: {drata}",se'i,interjection modifier,interjection is self-oriented | {se'i} {nai} — interjection is oriented towards others,,interjection ending,{drata},,,,UI5,yes,interjection,,,,,,,,
vu'e,"
'''vu'e''' <small>[interjection]</small> — expressing virtue | {vu'e} {nai} — expressing sin
:'''i ie vu'e sarcu fa lo nu le tcadu cu se daspo''' — ''It's my virtue, I agree that the city should be destroyed.''
:'''i mi djica vu'e nai lo nu do na cliva''' — ''My sin, I don't want you to leave.''
:'''i ui vu'e nai mi pu citka pa titla poi mi pu zekri lebna''' — ''Yay, I ate a candy that I had stolen.''
:Related words: {vrude}, {zungi}",vu'e,interjection,expressing virtue | {vu'e} {nai} — expressing sin,,interjection,"{vrude}, {zungi}",,,,UI5,yes,interjection,,,,,interjection modifier: virtue — sin,vu'e,"
'''vu'e''' <small>[interjection]</small> — expressing virtue | {vu'e} {nai} — expressing sin
:'''i ie vu'e sarcu fa le nu le mi'u tcadu cu se daspo''' — ''It's my virtue, I agree that the city should be destroyed.''
:'''i mi djica vu'e nai le nu do na cliva''' — ''My sin, I don't want you to leave.''
:'''i ui vu'e nai mi pu citka pa titla poi mi pu zekri lebna''' — ''Yay, I ate a candy that I had stolen.''
:Related words: {vrude}, {zungi}",vu'e,interjection,expressing virtue | {vu'e} {nai} — expressing sin,,interjection,"{vrude}, {zungi}",,,,UI5,yes,interjection,,,,,,,,
xo'o,"
'''xo'o''' <small>[interjection modifier]</small> — verbal irony | {xo'o} {nai} — @@@I mean it!@@@ (sincerely)
:'''i je'u xo'o do ne se mau djuno''' — ''Yes, of course, you know better (sarcastically)!''
:'''i xo'o nai sai do pu se la'u li rau gunka''' — ''With full sincerity, I can tell you that you worked enough.''
:Comment: For {xo'o} the intended meaning is the opposite of that expressed by the words used, in {xo'o} {nai} it explicitely marks the intended meaning as matching the words. Sarcasm isn't necessarily implied.",xo'o,interjection modifier,verbal irony | {xo'o} {nai} — @@@I mean it!@@@ (sincerely),"For {xo'o} the intended meaning is the opposite of that expressed by the words used, in {xo'o} {nai} it explicitely marks the intended meaning as matching the words. Sarcasm isn't necessarily implied",interjection modifier,,,,,UI5,yes,interjection,,opposite to literal meaning,,literally meaning,interjection modifier: sarcastically — sincerely,xo'o,"
'''xo'o''' <small>[experimental interjection modifier]</small> — verbal irony | {xo'o} {nai} — @@@I mean it!@@@ (sincerely)
:'''i je'u xo'o do ne se mau djuno''' — ''Yes, of course, you know better (sarcastically)!''
:'''i xo'o nai sai do pu se la'u li rau gunka''' — ''With full sincerity, I can tell you that you worked enough.''
:Comment: For {xo'o} the intended meaning is the opposite of that expressed by the words used, in {xo'o} {nai} it explicitely marks the intended meaning as matching the words. Sarcasm isn't necessarily implied.",xo'o,interjection modifier,verbal irony | {xo'o} {nai} — @@@I mean it!@@@ (sincerely),"For {xo'o} the intended meaning is the opposite of that expressed by the words used, in {xo'o} {nai} it explicitely marks the intended meaning as matching the words. Sarcasm isn't necessarily implied",interjection modifier,,,,,UI5,exp,interjection,,opposite to literal meaning,,literally meaning,,,,
zo'o,"
'''zo'o''' <small>[interjection modifier]</small> — @@@Kidding...@@@ (humorously) | {zo'o} {cu'i} — that might be either serious or a joke | {zo'o} {nai} — @@@seriously@@@
:'''i zo'o pei''' — ''Are you kidding?''
:'''i e'u zo'o renro la kevin ti noi kevna''' — ''Let's throw Kevin into this hole (kidding ...).''
:'''i mi kakne lo ka plipe fi le ve'i cmana vau zo'o cu'i''' — ''I might be able to jump from the hill.''
:'''i zo'o nai do jai fanza''' — ''Seriously, you are annoying.''
:Related words: {xajmi}, {junri}",zo'o,interjection modifier,@@@Kidding...@@@ (humorously) | {zo'o} {cu'i} — that might be either serious or a joke | {zo'o} {nai} — @@@seriously@@@,,interjection modifier,"{xajmi}, {junri}",,,,UI5,yes,interjection,,kidding... (humorously),,seriously,interjection modifier: humorously — dully — seriously,zo'o,"
'''zo'o''' <small>[interjection modifier]</small> — @@@Kidding...@@@ (humorously) | {zo'o} {cu'i} — that might be either serious or a joke | {zo'o} {nai} — @@@seriously@@@
:'''i zo'o pei''' — ''Are you kidding?''
:'''i e'u zo'o renro la kevin ti noi kevna''' — ''Let's throw Kevin into this hole (kidding ...).''
:'''i mi kakne le ka plipe fi le mi'u ve'i cmana vau zo'o cu'i''' — ''I might be able to jump from the hill.''
:'''i zo'o nai do jai fanza''' — ''Seriously, you are annoying.''
:Related words: {xajmi}, {junri}",zo'o,interjection modifier,@@@Kidding...@@@ (humorously) | {zo'o} {cu'i} — that might be either serious or a joke | {zo'o} {nai} — @@@seriously@@@,,interjection modifier,"{xajmi}, {junri}",,,,UI5,yes,interjection,,kidding... (humorously),,seriously,,,,
ge'e,"
'''ge'e''' <small>[interjection]</small> — attitude unspecified or known from context
:'''i ge'e lo mlatu pe mi mo'u se jbena pa no da''' — ''Well, my cat has given birth to ten kittens.''",ge'e,interjection,attitude unspecified or known from context,,interjection,,,,,UI6,yes,interjection,unspecified thing,,,,interjection: elliptical/unspecified/non-specific emotion, no particular feeling,ge'e,"
'''ge'e''' <small>[interjection]</small> — attitude unspecified or known from context
:'''i ge'e le mlatu pe mi mo'u se jbena pa no da''' — ''Well, my cat has given birth to ten kittens.''",ge'e,interjection,attitude unspecified or known from context,,interjection,,,,,UI6,yes,interjection,unspecified thing,,,,,,
ki'a,"
'''ki'a''' <small>[interjection question]</small> — @@@Huh?@@@ (confusion about something said) | {ki'a} {nai} — @@@I understand@@@ (understanding about something said)
:'''i lu mi pu te vecnu pa granate li'u lu granate ki'a li'u''' — ''&quot;I bought granate.&quot; &quot;Huh, granate?&quot;''
:'''i lu sa'u le verba cu mutce lo ka tatpi li'u lu ki'a nai li'u''' — ''&quot;The child is just very tired.&quot; &quot;I understand.&quot;''
:Related words: {cfipu}, {kucli}",ki'a,interjection question,@@@Huh?@@@ (confusion about something said) | {ki'a} {nai} — @@@I understand@@@ (understanding about something said),,interjection question,"{cfipu}, {kucli}",,,,UI6,yes,interjection,,huh? (confusion about something said),,I understand (understanding about something said),interjection question: confusion about something said,ki'a,"
'''ki'a''' <small>[interjection question]</small> — @@@Huh?@@@ (confusion about something said) | {ki'a} {nai} — @@@I understand@@@ (understanding about something said)
:'''i lu mi pu te vecnu pa granate li'u lu granate ki'a li'u''' — ''&quot;I bought granate.&quot; &quot;Huh, granate?&quot;''
:'''i lu sa'u le mi'u verba cu mutce le ka tatpi li'u lu ki'a nai li'u''' — ''&quot;The child is just very tired.&quot; &quot;I understand.&quot;''
:Related words: {cfipu}, {kucli}",ki'a,interjection question,@@@Huh?@@@ (confusion about something said) | {ki'a} {nai} — @@@I understand@@@ (understanding about something said),,interjection question,"{cfipu}, {kucli}",,,,UI6,yes,interjection,,huh? (confusion about something said),,I understand (understanding about something said),,,,
ko'oi,"
'''ko'oi''' <small>[interjection]</small> — imperative
:'''i do o nai ko'oi mi co'a morsi''' — ''Either you or I die!''
:'''i ko'oi mi'o klama''' — ''Let's go!''
:'''i le prenu ku ko'oi citka le grute''' — ''Let him eat the fruit!''
:'''i lo ko'oi se platu be do cu te snada''' — ''Let your plan be successful!''
:Comment: hortative. {ko} is a short form of {do} {ko'oi}. {ko'oi} is a broader term than {e'o}, {e'u}, {e'a}, {e'e}, {e'i}.
:Related words: {minde}, {cpedu}, {e'ande}, {pacna}, {stidi}, {djica}, {bilga}",ko'oi,interjection,imperative,"hortative. {ko} is a short form of {do} {ko'oi}. {ko'oi} is a broader term than {e'o}, {e'u}, {e'a}, {e'e}, {e'i}",discursive,"{minde}, {cpedu}, {e'ande}, {pacna}, {stidi}, {djica}, {bilga}",,,,UI6,yes,interjection,,,,,discursive: imperative/hortative,ko'oi,"
'''ko'oi''' <small>[experimental interjection]</small> — imperative
:'''i do o nai ko'oi mi co'a morsi''' — ''Either you or I die!''
:'''i ko'oi mi'o klama''' — ''Let's go!''
:'''i le mi'u prenu ku ko'oi citka le mi'u grute''' — ''Let him eat the fruit!''
:'''i le ko'oi se platu be do cu te snada''' — ''Let your plan be successful!''
:Comment: hortative. {ko} is a short form of {do} {ko'oi}. {ko'oi} is a broader term than {e'o}, {e'u}, {e'a}, {e'e}, {e'i}.
:Related words: {minde}, {cpedu}, {e'ande}, {pacna}, {stidi}, {djica}, {bilga}",ko'oi,interjection,imperative,"hortative. {ko} is a short form of {do} {ko'oi}. {ko'oi} is a broader term than {e'o}, {e'u}, {e'a}, {e'e}, {e'i}",discursive,"{minde}, {cpedu}, {e'ande}, {pacna}, {stidi}, {djica}, {bilga}",,,,UI6,exp,interjection,,,,,,,,
xu,"
'''xu''' <small>[interjection]</small> — true-false question | {xu} {nai} — false-true question
:'''i xu do pu djuno''' — ''Did you know?''
:'''i xu nai do pu djuno''' — ''Didn't you know?''",xu,interjection,true-false question | {xu} {nai} — false-true question,,discursive,,,,,UI6,yes,interjection,question,? (yes/no question),,"isn't it?, ain't?",discursive: true-false question,xu,"
'''xu''' <small>[interjection]</small> — true-false question | {xu} {nai} — false-true question
:'''i xu do pu djuno''' — ''Did you know?''
:'''i xu nai do pu djuno''' — ''Didn't you know?''",xu,interjection,true-false question | {xu} {nai} — false-true question,,discursive,,,,,UI6,yes,interjection,question,? (yes/no question),,"isn't it?, ain't?",,,,
bu'o,"
'''bu'o''' <small>[interjection modifier]</small> — shows the start of emotion | {bu'o} {cu'i} — shows the continuation of emotion | {bu'o} {nai} — shows the end of emotion
:'''i za'o ku do tsuku ui bu'o''' — ''At last you arrived, and I'm happy now!''
:'''i ua nai bu'o cu'i la alis cu simsa fi lo ka na zvati''' — ''What's going on, Alice is also not present.''
:'''i u'i bu'o nai mi di'a gunka''' — ''Enough laughing, I'm back to work.''",bu'o,interjection modifier,shows the start of emotion | {bu'o} {cu'i} — shows the continuation of emotion | {bu'o} {nai} — shows the end of emotion,,interjection modifier,,,,,UI7,yes,interjection,,,,,interjection contour: start emotion — continue emotion — end emotion,bu'o,"
'''bu'o''' <small>[interjection modifier]</small> — shows the start of emotion | {bu'o} {cu'i} — shows the continuation of emotion | {bu'o} {nai} — shows the end of emotion
:'''i za'o ku do tsuku ui bu'o''' — ''At last you arrived, and I'm happy now!''
:'''i ua nai bu'o cu'i la alis cu simsa fi le ka na zvati''' — ''What's going on, Alice is also not present.''
:'''i u'i bu'o nai mi di'a gunka''' — ''Enough laughing, I'm back to work.''",bu'o,interjection modifier,shows the start of emotion | {bu'o} {cu'i} — shows the continuation of emotion | {bu'o} {nai} — shows the end of emotion,,interjection modifier,,,,,UI7,yes,interjection,,,,,,,,
va,"
'''va''' <small>[preposition of group VA]</small> — @@@... space units apart@@@
:'''i le prenu cu sanli va lo mitre be li re ki mi''' — ''The man is standing two meters away from me.''
:'''i lo va tanxe cu vasru lo plise''' — ''That box contains apples.''
:Comment: specifies the distance, e.g. in meters .",va,preposition of group VA,@@@... space units apart@@@,"specifies the distance, e.g. in meters ",,,,,,VA,yes,,,"there, that one",,,location tense distance: near to ... , there at ..., a medium/small distance from ...,va,"
'''va''' <small>[preposition of group VA]</small> — @@@... space units apart@@@
:'''i le mi'u prenu cu sanli va le mitre be li re ki mi''' — ''The man is standing two meters away from me.''
:'''i le va tanxe cu vasru le plise''' — ''That box contains apples.''
:Comment: specifies the distance, e.g. in meters .",va,preposition of group VA,@@@... space units apart@@@,"specifies the distance, e.g. in meters ",,,,,,VA,yes,,,"there, that one",,,,
